ID,Category,Software Component,Title,Decision,Reason
50643,Added,ApI Gateway,Implement TYK API definitions for users-and-groups UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50687,Added,Machine Learning,Machine Learning: Implement logging in JSON format of Java for k8s for MLPredictionService,excluded,"internal plumbing, infrastructure, or not customer-visible"
50736,Added,ApI Gateway,Implement TYK API definitions for ui-configuration-service UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50737,Added,ApI Gateway,Implement TYK API definitions for denials UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50740,Added,ApI Gateway,Implement TYK API definitions for license-allocations UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50741,Added,ApI Gateway,Implement TYK API definitions for license-service UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50805,Added,ApI Gateway,Implement TYK API definitions for audit UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50806,Added,ApI Gateway,Implement TYK API definitions for identity UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50807,Added,ApI Gateway,Implement TYK API definitions for agents-hub UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50809,Added,ApI Gateway,Implement TYK API definitions for agent-activity-manager UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50811,Added,ApI Gateway,Implement TYK API definitions for end-user-services UI (personal dashboard),excluded,"internal plumbing, infrastructure, or not customer-visible"
50812,Added,ApI Gateway,Implement TYK API definitions for process-manager UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50835,Added,ApI Gateway,Implement TYK API definitions for dss UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50836,Added,ApI Gateway,Implement TYK API definitions for notifications UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50837,Added,ApI Gateway,Implement TYK API definitions for alerts UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50838,Added,ApI Gateway,Implement TYK API definitions for brokers-hub UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50839,Added,ApI Gateway,Implement TYK API definitions for usage UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50840,Added,ApI Gateway,Implement TYK API definitions for license-access-control UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50841,Added,ApI Gateway,Implement TYK API definitions for projects-service UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50842,Added,ApI Gateway,Implement TYK API definitions for cloud-broker UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50843,Added,ApI Gateway,Implement TYK API definitions for compliance UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50844,Added,ApI Gateway,Implement TYK API definitions for license-manager UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
50850,Improved,CI/CD,CI/CD AssistanceService,excluded,"CI/CD, build, and deployment work"
50867,Added,Machine Learning,Machine Learning: Implement logging in JSON format of Java for k8s for MLDataCollectionService,excluded,"internal plumbing, infrastructure, or not customer-visible"
50868,Added,Machine Learning,Machine Learning: Implement configuration and logic to deploy service to k8s for MLPredictionService,excluded,"internal plumbing, infrastructure, or not customer-visible"
50885,Improved,CI/CD,MLDataCollectionService CI/CD,excluded,"CI/CD, build, and deployment work"
51008,Added,ApI Gateway,Implement TYK API definitions for operational service,excluded,"internal plumbing, infrastructure, or not customer-visible"
51025,Added,Machine Learning,Machine Learning: Implement filtering of wrong data from topics for MLDataCollectionService as start time bigger end time,excluded,"internal plumbing, infrastructure, or not customer-visible"
51034,Added,Personal Dashboard,Personal Dashboard: Notifications: Reorder notifications from newest to oldest,already published,item already appears in static/release-notes JSON changelogs
51095,Added,Machine Learning,Machine Learning: Implement Identity logic and configuration for Java services,excluded,"internal plumbing, infrastructure, or not customer-visible"
51097,Added,ApI Gateway,Implement TYK API definitions for touch-point-events UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
51119,Improved,CI/CD,CI/CD LicenseAccessControl UI,excluded,"CI/CD, build, and deployment work"
51249,Improved,CI/CD,CI/CD EmailNotification,excluded,"CI/CD, build, and deployment work"
51250,Improved,CI/CD,CI/CD NotificationGateway,excluded,"CI/CD, build, and deployment work"
51251,Improved,CI/CD,CI/CD PushNotification,excluded,"CI/CD, build, and deployment work"
51252,Improved,CI/CD,CI/CD TicketingNotification,excluded,"CI/CD, build, and deployment work"
51253,Improved,CI/CD,NotificationsUI,excluded,"CI/CD, build, and deployment work"
51340,Added,Machine Learning,Machine Learning: Implement Caching mechanism and logic,excluded,"internal plumbing, infrastructure, or not customer-visible"
51344,Added,Placeholder,Navigation UI - Header navigation.,excluded,"internal plumbing, infrastructure, or not customer-visible"
51411,Improved,UGS,UGS: Email Aliases: Search option inside the dropdown,published in changelog,customer-facing change
51584,Improved,Developer Portal,Add Documentation Infrastructure to all services that don't have it,excluded,"internal plumbing, infrastructure, or not customer-visible"
51680,Improved,CI/CD,CI/CD UGS-IdentityFuse,excluded,"CI/CD, build, and deployment work"
51716,Improved,Compliance Service,Complianse:  integration with licenses source,excluded,"internal plumbing, infrastructure, or not customer-visible"
52431,Improved,Deployment,Deployment - Need to be able to use self signed certificates in the system  - Update run.sh in services cicd folder,parked,awaiting placement (navigation page decision / legacy-slm version / cross-service item)
52615,Added,DB Configuration Tool,DB Configuration Tool: Implement logic to create PostreSQL connection strings,published in changelog,customer-facing change
52637,Improved,Alert Service,EKS: Cloud:  integrate with Notifications service,excluded,"internal plumbing, infrastructure, or not customer-visible"
52665,Improved,DB Configuration Tool,DB Configuration Tool: Upgrade UI interface and logic by latest updates of UI common library,excluded,"tests, QA, and security scanning"
52931,Added,ApI Gateway,Implement TYK API identity .security endpoint,excluded,"internal plumbing, infrastructure, or not customer-visible"
53128,Improved,Cloud Server,Cloud service Cloud deployment - assist to devops,excluded,"CI/CD, build, and deployment work"
53191,Added,API Gateway,Implement TYK API definitions for Navigation UI,excluded,"internal plumbing, infrastructure, or not customer-visible"
53243,Improved,licenses,Annapurna: Licenses: Checkout Policy: Edit Function,published in changelog,customer-facing change
53517,Improved,CI/CD,Update openlm_complianceservice CI/CD,excluded,"CI/CD, build, and deployment work"
53518,Improved,CI/CD,Update openlm_complianceserviceui CI/CD,excluded,"CI/CD, build, and deployment work"
53578,Improved,Machine Learning,Project ML in License harvesting: Deployment in Dev Environment,excluded,"CI/CD, build, and deployment work"
53598,Added,Process Manager,Process Manager: [App-Manager-Migration:4] Add Shadow License Release Flow,published in changelog,customer-facing change
53599,Added,Process Manager,Process Manager: [App-Manager-Migration:5] Add Shadow License Consumption flow,published in changelog,customer-facing change
53612,Added,ApI Gateway,Implement TYK API definitions for Products Service,excluded,"internal plumbing, infrastructure, or not customer-visible"
53805,Improved,DB Configuration Tool,DB Configuration Tool: Re-factor layouts templating for latest UI upgrades for common lib,excluded,"tests, QA, and security scanning"
53904,Improved,CI/CD,Update openlm_dbconfigurationtoolui CI/CD,excluded,"CI/CD, build, and deployment work"
53972,Added,Homepage,"Homepage:  Create ""No active products"", Metrics and Navigation containers",excluded,"internal plumbing, infrastructure, or not customer-visible"
53975,Added,Homepage,"Homepage: Create ""New Interface"" and ""Blog"" Containers",excluded,"internal plumbing, infrastructure, or not customer-visible"
53993,Added,Homepage,Onboarding: Homepage: Create Onboarding tutorial,excluded,"internal plumbing, infrastructure, or not customer-visible"
54017,Improved,Homepage,Homepage: Finish user registration flow,excluded,"internal plumbing, infrastructure, or not customer-visible"
54033,Improved,Compliance Service,K8s: Compliance: Handle product activation / deactivation,excluded,"internal plumbing, infrastructure, or not customer-visible"
54050,Improved,CI/CD,Update AssistanceService CI/CD,excluded,"CI/CD, build, and deployment work"
54143,Added,SAM,SAM: Update UI to create entitlement records by reading license server & process data coming from reporting service,published in changelog,customer-facing change
54214,Improved,Compliance Service,Compliance - Cloud eks k8 deployment,excluded,"CI/CD, build, and deployment work"
54374,Added,Compliance Service,K8s: Compliance Service - add support of Roles in new gen,excluded,"internal plumbing, infrastructure, or not customer-visible"
54378,Added,Notification Service,K8s: Notifications Service: add support of roles in new gen,excluded,"internal plumbing, infrastructure, or not customer-visible"
54414,Added,SAM,SAM : Modify graphQL APIs to create entitlement record from feature information received from reporting service,excluded,"internal plumbing, infrastructure, or not customer-visible"
54470,Improved,CI/CD,Update HomePage CI/CD,excluded,"CI/CD, build, and deployment work"
54563,Improved,Compliance Service,Compliance Service UI - Settings component - creation,excluded,"internal plumbing, infrastructure, or not customer-visible"
54609,Added,SaaS Agent,SaaS Agent: Support Apollo.io,published in changelog,customer-facing change
54782,Improved,Compliance Service,Compliance: Product not activated screen,published in changelog,customer-facing change
54819,Improved,Homepage,Homepage Back End - Integrate Products Service into the back end.,excluded,"internal plumbing, infrastructure, or not customer-visible"
54890,Improved,Notification Service,NotificationsService K8S: Remove SMTP config for UI for cloudmode,excluded,"internal plumbing, infrastructure, or not customer-visible"
54929,Improved,Notification Service,Notifications service UI - changes related to Roles & Permissions,excluded,"internal plumbing, infrastructure, or not customer-visible"
54930,Improved,Compliance Service,Compliance UI - changes related to Roles & Permissions,excluded,"internal plumbing, infrastructure, or not customer-visible"
55153,Improved,Compliance Service,Compliance service - start service level tests coverage,excluded,"tests, QA, and security scanning"
55154,Improved,Notification Service,Notifications service - start service level tests coverage,excluded,"tests, QA, and security scanning"
55247,Improved,Homepage,Homepage UI - Refactoring ,excluded,"internal plumbing, infrastructure, or not customer-visible"
55270,Improved,Agent Services,Agent Services: Operational data TTL indexes,excluded,"internal plumbing, infrastructure, or not customer-visible"
55367,Added,ProductActivation package,Product Activation: Add mechanism in case ProductsService is not available,excluded,"internal plumbing, infrastructure, or not customer-visible"
55415,Improved,Compliance Service,Compliance Service - integrate licensing of type On/Off,excluded,"internal plumbing, infrastructure, or not customer-visible"
55475,Improved,Homepage,Homepage UI  - Roles & Permissions integration,excluded,"internal plumbing, infrastructure, or not customer-visible"
55486,Added,Identity Service,Identity Service- Implement BFF,excluded,"internal plumbing, infrastructure, or not customer-visible"
55562,Improved,UGS,UGS UI: Bulk entities partial update endpoints to be used,excluded,"internal plumbing, infrastructure, or not customer-visible"
55632,Improved,SAM,Change 'Vendors' endpoint in SAM to 'Sellers',published in changelog,customer-facing change
55645,Added,SAM,Create GraphQL api to display license server and process information along with name of systems they are mapped with,excluded,"internal plumbing, infrastructure, or not customer-visible"
55807,Improved,SAM,"Merge ""reporting-data"" branch into ""dev""  branch",excluded,"internal plumbing, infrastructure, or not customer-visible"
56194,Improved,SAM,Modify the EntitlementRecord to consume Procurement Info and Process Info according to updated UX design,published in changelog,customer-facing change
56298,Improved,CI/CD,Update HomePage UI CI/CD,excluded,"CI/CD, build, and deployment work"
56318,Improved,CI/CD,Update UGS-IdentityFuse CI/CD,excluded,"CI/CD, build, and deployment work"
56609,Added,SAM,SAM service - Add policies,excluded,"internal plumbing, infrastructure, or not customer-visible"
56635,Improved,Data Engineering, Pipeline Requirements for S3ReportingETL Spark Deployment,excluded,"CI/CD, build, and deployment work"
56662,Improved,LicenseAccessControl,"LAC: Annapurna: UI: Split Rules into a more User Friendly views, for example: Inactive Rules, Active Rules.",published in changelog,customer-facing change
56918,Added,UsageService,Support automatic restart in MDE,excluded,"internal (second audit, June 11, 2026): ops-only service auto-restart"
56962,Improved,Compliance Service,Compliance - possible refactoring,excluded,"internal plumbing, infrastructure, or not customer-visible"
57020,Improved,Directory Synchronization,Integration scenario test coverage - DSA->DSS->UGS,excluded,"tests, QA, and security scanning"
57021,Improved,Agent,K8s: Agent: Do not produce projects related notifications when config is disabled in AH,published in changelog,customer-facing change
57098,Improved,Agent Services,Agent Services: Rename SessionId property of ProcessCycleInfoMessage to OsSessionId,excluded,"internal plumbing, infrastructure, or not customer-visible"
57164,Improved,UI/UX,UX Tribe: Remove grid persistence from all UIs,excluded,"internal plumbing, infrastructure, or not customer-visible"
57287,Improved,Navigation,Navigation - Provide an endpoint that will return the relevant items for a specific User.,excluded,"internal plumbing, infrastructure, or not customer-visible"
57587,Improved,LicenseFileManagement,License File Management (LFM) - hide from navigation,excluded,"internal plumbing, infrastructure, or not customer-visible"
57631,Improved,UGS,K8s: UGS: Might be better if we can sort by User Created Date,published in changelog,customer-facing change
57635,Improved,Cloud Broker Agent,Cloud Broker Agent: Workflow for Relogging into the Monitored Services. Mainly UI Configuration,excluded,"internal plumbing, infrastructure, or not customer-visible"
57707,Improved,CI/CD,Update AuditService CI/CD,excluded,"CI/CD, build, and deployment work"
57733,Improved,SAM,SAM: Update UI with additional information,excluded,"internal plumbing, infrastructure, or not customer-visible"
57738,Added,SAM,SAM - Add Filtered Endpoints for Mapping Entitlement Records,excluded,"internal plumbing, infrastructure, or not customer-visible"
57850,Improved,Homepage,Homepage: Tutorial Container change from video to Knowledge Base links,excluded,"internal plumbing, infrastructure, or not customer-visible"
57875,Added,UI Configuration Service,Basic Report: Add this service item under Navigation Service,excluded,"internal plumbing, infrastructure, or not customer-visible"
57959,Improved,ExternalPlatformService,MondayIntegration - CI/CD,excluded,"CI/CD, build, and deployment work"
57961,Added,FreshworksAlertsIntegration,FreshworksAlertsIntegration: Create UI Navigation logic for Cloud EKS menu and remove that from OnPem k8s,excluded,"internal plumbing, infrastructure, or not customer-visible"
57962,Added,ZohoAlertsIntegration,ZohoAlertsIntegration: Create UI Navigation logic for Cloud EKS menu and remove that from OnPem k8s,excluded,"internal plumbing, infrastructure, or not customer-visible"
58020,Improved,Audit Service,"Audit Service: Upgrade service to latest OpenLM Auth and other Nuget packages, deploy, test identifying bugs",excluded,"tests, QA, and security scanning"
58111,Improved,OpenLM Server,Server: RLM: Enable detailed reporting for Synera Tokens,already published,item already appears in static/release-notes JSON changelogs
58119,Improved,UGS,UGS: UGS Client - Error in RetrieveWorkstationIdsBatchAsync method,excluded,"internal plumbing, infrastructure, or not customer-visible"
58180,Improved,CI/CD,Update ComplianceService CI/CD,excluded,"CI/CD, build, and deployment work"
58181,Improved,CI/CD,Update ComplianceServiceUI CI/CD,excluded,"CI/CD, build, and deployment work"
58188,Improved,CI/CD,Update DbConfigurationToolUI CI/CD,excluded,"CI/CD, build, and deployment work"
58207,Improved,Cloud Server,Cloud Admin UI - Products Description rethinking,excluded,"internal plumbing, infrastructure, or not customer-visible"
58313,Improved,Audit Service,"Audit Service: Upgrade service to latest OpenLM Auth after stable release and other Nuget packages, deploy and test",excluded,"tests, QA, and security scanning"
58331,Improved,Onboarding,"Onboarding: ""Cancel Onboarding"" dialog text fix",published in changelog,customer-facing change
58369,Improved,CI/CD,Update ProjectServiceMigration CI/CD,excluded,"CI/CD, build, and deployment work"
58370,Improved,CI/CD,Update NotificationGateway CI/CD,excluded,"CI/CD, build, and deployment work"
58371,Improved,CI/CD,Update EmailNotification CI/CD,excluded,"CI/CD, build, and deployment work"
58372,Improved,CI/CD,Update TicketingNotification CI/CD,excluded,"CI/CD, build, and deployment work"
58373,Improved,CI/CD,Update PushNotification CI/CD,excluded,"CI/CD, build, and deployment work"
58415,Improved,UsageService,Update UsageService CI/CD,excluded,"CI/CD, build, and deployment work"
58466,Improved,UI Telemetry,UI Telemetry - Homepage integration,excluded,"internal plumbing, infrastructure, or not customer-visible"
58467,Improved,Allocation Enrichment,Update AllocationService CI/CD,excluded,"CI/CD, build, and deployment work"
58468,Improved,Denials Enrichment,Update DenialService CI/CD,excluded,"CI/CD, build, and deployment work"
58469,Improved,Disposable Enrichment,Update DisposableToken CI/CD,excluded,"CI/CD, build, and deployment work"
58509,Improved,ExternalPlatformService,MondayIntegration - eks deployment,excluded,"CI/CD, build, and deployment work"
58547,Added,Identity Service,Identity : Support Settings in generic configuration ,excluded,"internal plumbing, infrastructure, or not customer-visible"
58620,Added,UsageService,Usage service: create service tests,excluded,"tests, QA, and security scanning"
58635,Improved,Audit Service,Audit Service: Improve UX with tuning some styles,excluded,"internal plumbing, infrastructure, or not customer-visible"
58725,Improved,UGS,UGS: Licensing Users,excluded,"internal plumbing, infrastructure, or not customer-visible"
58759,Improved,Directory Synchronization,Integration scenario test coverage - DSA->DSS->Projects,excluded,"tests, QA, and security scanning"
58776,Added,SalesforceAlertsIntegration,SalesforceAlertsIntegration: Add product icon and URL for products menu in navigation of OpenLM Cloud EKS Homepage,excluded,"internal plumbing, infrastructure, or not customer-visible"
58778,Added,SalesforceAlertsIntegration,SalesforceAlertsIntegration: Add TYK APIs Gateway configs for this service for Cloud EKS env,excluded,"internal plumbing, infrastructure, or not customer-visible"
58781,Added,SalesforceAlertsIntegration,"SalesforceAlertsIntegration: Add Azure pipelines, deployments and release config for Cloud EKS",excluded,"CI/CD, build, and deployment work"
58798,Added,Cloud Server,Cloud Partners - implement logic with referral links,excluded,"internal plumbing, infrastructure, or not customer-visible"
58883,Improved,Notification Service,Fix NotificationService smoke tests pipelines,excluded,"CI/CD, build, and deployment work"
58933,Improved,CI/CD,Deploy UsersAndGroups to Staging env,excluded,"CI/CD, build, and deployment work"
58934,Improved,UGS,UGS: Use the integration models package inside UGS when possible,excluded,"dependency, framework, and configuration maintenance"
58938,Improved,CI/CD,Deploy CloudService to Staging env,excluded,"CI/CD, build, and deployment work"
58942,Improved,CI/CD,Deploy UsageService to Staging env,excluded,"CI/CD, build, and deployment work"
58943,Added,SAM,SAM - Create a service to push Entitlement Records to Reporting via kafka messages,excluded,"internal plumbing, infrastructure, or not customer-visible"
58963,Improved,Agent Services,Agent Services: Update OpenLM.Auth package to v. 3.11.2,excluded,"dependency, framework, and configuration maintenance"
58973,Improved,CI/CD,Deploy DenialsService to Staging env,excluded,"CI/CD, build, and deployment work"
58974,Improved,CI/CD,Deploy DenialsServiceUI to Staging env,excluded,"CI/CD, build, and deployment work"
58984,Improved,CI/CD,Deploy ProjectServiceAPI to Staging env,excluded,"CI/CD, build, and deployment work"
58985,Improved,CI/CD,Deploy ProjectServiceUI to Staging env,excluded,"CI/CD, build, and deployment work"
58993,Improved,Homepage,Homepage BE - Package updates,excluded,"dependency, framework, and configuration maintenance"
58995,Improved,Navigation,Navigation BE - OpenLM.Auth package update,excluded,"dependency, framework, and configuration maintenance"
59004,Improved,CI/CD,Deploy HomePageUI to Staging env,excluded,"CI/CD, build, and deployment work"
59007,Improved,CI/CD,Deploy AgentsHub to Staging env,excluded,"CI/CD, build, and deployment work"
59008,Improved,CI/CD,Deploy AgentsHubUI to Staging env,excluded,"CI/CD, build, and deployment work"
59012,Improved,CI/CD,Deploy UsersAndGroupsUI to Staging env,excluded,"CI/CD, build, and deployment work"
59019,Improved,CI/CD,Deploy UGS-IdentityFuse to Staging env,excluded,"CI/CD, build, and deployment work"
59022,Added,Navigation,Navigation BE - New Caching needs to be introduced,excluded,"internal plumbing, infrastructure, or not customer-visible"
59025,Improved,Navigation,Navigations BE - Restore VLM in Navigation seed,excluded,"internal plumbing, infrastructure, or not customer-visible"
59026,Added,Cloud Server,Cloud Service - Add service level tests,excluded,"tests, QA, and security scanning"
59028,Improved,Cloud Server,CloudService: Activator Removal & Code Cleanup,excluded,"internal plumbing, infrastructure, or not customer-visible"
59045,Improved,UGS,UGS: Cleanup API,excluded,"internal plumbing, infrastructure, or not customer-visible"
59046,Added,ExternalPlatformService,OpenLM Connector Integration - Create custom object for monday and also make the success page generic,excluded,"internal plumbing, infrastructure, or not customer-visible"
59080,Added,UGS,UGS Clean Up - add workstations cleanup,published in changelog,customer-facing change
59167,Improved,SAM,Add functionality to import and export Seller information via CSV file,published in changelog,customer-facing change
59170,Improved,CI/CD,Deploy AuditService to Staging env,excluded,"CI/CD, build, and deployment work"
59175,Improved,CI/CD,Deploy ComplianceServiceUI to Staging env,excluded,"CI/CD, build, and deployment work"
59181,Improved,CI/CD,Deploy DisposableToken to Staging env,excluded,"CI/CD, build, and deployment work"
59182,Improved,CI/CD,Deploy DisposableTokens to Staging env,excluded,"CI/CD, build, and deployment work"
59186,Improved,CI/CD,Deploy EmailNotification to Staging env,excluded,"CI/CD, build, and deployment work"
59193,Improved,CI/CD,Deploy NotificationGateway to Staging env,excluded,"CI/CD, build, and deployment work"
59194,Improved,CI/CD,Deploy NotificationUI to Staging env,excluded,"CI/CD, build, and deployment work"
59197,Improved,CI/CD,Deploy ProjectServiceMigration to Staging env,excluded,"CI/CD, build, and deployment work"
59198,Improved,CI/CD,Deploy PushNotification to Staging env,excluded,"CI/CD, build, and deployment work"
59200,Improved,CI/CD,Deploy TicketingNotification to Staging env,excluded,"CI/CD, build, and deployment work"
59286,Improved,LicenseFileManagement,LFM UI - Integration with ui configuration service,excluded,"internal plumbing, infrastructure, or not customer-visible"
59322,Improved,ExternalPlatformService,MondayIntegration - Refactor or modularize the backend code,excluded,"internal plumbing, infrastructure, or not customer-visible"
59335,Improved,CI/CD,Deploy Spark DBMT Cloud to Staging env,excluded,"CI/CD, build, and deployment work"
59340,Improved,CI/CD,Deploy Spark S3Reporting to Staging env,excluded,"CI/CD, build, and deployment work"
59375,Added,ExternalPlatformService,Monday Integration - Add unit tests for the backend code for the connector,excluded,"tests, QA, and security scanning"
59383,Improved,End User Services,EUS Squad UIs - Upgrade to the latest UI Common Library version,excluded,"tests, QA, and security scanning"
59399,Improved,UGS,UGS - Move “Workstations” tab under Management section,published in changelog,customer-facing change
59400,Improved,Notification Service,Notifications Service - Move all menu under “Management”,published in changelog,customer-facing change
59405,Improved,NavigationService,Navigation Service: Integrate roles into navigation data retrieval,excluded,"internal plumbing, infrastructure, or not customer-visible"
59407,Improved,SLM,SLM: AllDbUpgrde and scripts versioning,excluded,"internal plumbing, infrastructure, or not customer-visible"
59430,Improved,Notification Service,Notifications Service - remove viewer role,published in changelog,customer-facing change
59451,Added,Audit Service,"Audit service: Implement logic to process and show events should be audited, only if the Audit Service is activated on products",published in changelog,customer-facing change
59494,Improved,UI Telemetry,UI Telemetry - Restrict to Cloud mode only,excluded,"internal plumbing, infrastructure, or not customer-visible"
59501,Improved,CI/CD,Need deployment pipelines for SAM service to cloud environment,excluded,"CI/CD, build, and deployment work"
59520,Added,Reporting Hub,Reporting: Add UserId field to Database View and Model,excluded,"internal plumbing, infrastructure, or not customer-visible"
59548,Improved,CI/CD,Deploy ComplianceService to Staging env,excluded,"CI/CD, build, and deployment work"
59550,Improved,CI/CD,Deploy HomePage to Staging env,excluded,"CI/CD, build, and deployment work"
59584,Improved,CI/CD,Deploy CloudUI to Staging env,excluded,"CI/CD, build, and deployment work"
59586,Improved,CI/CD,Deploy NavigationService to Staging env,excluded,"CI/CD, build, and deployment work"
59593,Added,OpenLM Server,"SLM: Licensing: Server: Add ""source"" to raw monitoring data messages",excluded,"internal plumbing, infrastructure, or not customer-visible"
59596,Improved,UsageService,Usage Service - save unique users in DB,excluded,"internal plumbing, infrastructure, or not customer-visible"
59598,Improved,Compliance Service,Compliance Service - rename UI to Compliance,published in changelog,customer-facing change
59601,Improved,UsageService,SLM: Licensing: Usage Service: Report Unique Users Job,excluded,"internal plumbing, infrastructure, or not customer-visible"
59622,Improved,CI/CD,Deploy mondayintegration to staging env,excluded,"CI/CD, build, and deployment work"
59623,Improved,CI/CD,Deploy mondayintegrationui to staging env,excluded,"CI/CD, build, and deployment work"
59628,Improved,CI/CD,Deploy softwareassetmanagement to staging env,excluded,"CI/CD, build, and deployment work"
59632,Improved,CI/CD,Deploy usersandgroupsmigrationservice to staging env,excluded,"CI/CD, build, and deployment work"
59685,Improved,Compliance Service,Push Compliance Data to Kafka for Reporting ETL,excluded,"internal plumbing, infrastructure, or not customer-visible"
59689,Improved,Cloud Server,Cloud Service - template file improvements,excluded,"internal plumbing, infrastructure, or not customer-visible"
